Unique_ID,Taxa,Ecosystem,x_gm,y_gm,Reference,Group,Lat,Lon,Year,Plot_name,Notes
424,Broadleaf,Temperate typical deciduous broadleaved forest,184,799,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,42,121.7,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 26. Index from Michaletz 2014: 523
425,Broadleaf,Temperate typical deciduous broadleaved forest,465,802,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.82,113.33,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 35. Index from Michaletz 2014: 603
426,Broadleaf,Temperate typical deciduous broadleaved forest,495,810,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,37.5,113.35,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 41. Index from Michaletz 2014: 629
427,Broadleaf,Temperate typical deciduous broadleaved forest,468,817,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,37.43,113.35,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 35. Index from Michaletz 2014: 622
428,Broadleaf,Temperate typical deciduous broadleaved forest,597,819,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.15,111.02,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 67. Index from Michaletz 2014: 560
429,Broadleaf,Temperate typical deciduous broadleaved forest,435,821,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,35.2,111.57,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 30. Index from Michaletz 2014: 533
430,Broadleaf,Temperate typical deciduous broadleaved forest,572,835,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.13,110.91,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 60. Index from Michaletz 2014: 559
431,Broadleaf,Temperate typical deciduous broadleaved forest,592,838,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,37.7,111.84,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 62. Index from Michaletz 2014: 638
432,Broadleaf,Temperate typical deciduous broadleaved forest,496,839,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,37.12,111.38,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 36. Index from Michaletz 2014: 617
433,Broadleaf,Temperate typical deciduous broadleaved forest,593,891,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.27,110.64,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 56. Index from Michaletz 2014: 562
434,Broadleaf,Temperate typical deciduous broadleaved forest,678,897,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.42,111.94,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 76. Index from Michaletz 2014: 569
435,Broadleaf,Temperate typical deciduous broadleaved forest,643,901,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,37.63,111.88,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 64. Index from Michaletz 2014: 634
436,Broadleaf,Temperate typical deciduous broadleaved forest,554,903,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.33,111.29,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 40. Index from Michaletz 2014: 565
437,Broadleaf,Temperate typical deciduous broadleaved forest,632,903,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,37.07,111.31,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 61. Index from Michaletz 2014: 614
438,Broadleaf,Temperate typical deciduous broadleaved forest,609,911,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.83,111.2,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 52. Index from Michaletz 2014: 604
439,Broadleaf,Temperate typical deciduous broadleaved forest,782,917,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,35.3,112.19,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 76. Index from Michaletz 2014: 538
440,Broadleaf,Temperate typical deciduous broadleaved forest,264,922,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,40.9,117.9,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 26. Index from Michaletz 2014: 493
441,Broadleaf,Temperate typical deciduous broadleaved forest,758,930,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,35.38,111.68,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 68. Index from Michaletz 2014: 543
442,Broadleaf,Temperate typical deciduous broadleaved forest,650,933,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,35.72,112.04,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 62. Index from Michaletz 2014: 554
443,Broadleaf,Temperate typical deciduous broadleaved forest,561,942,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,37.47,111.75,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 41. Index from Michaletz 2014: 624
444,Broadleaf,Temperate typical deciduous broadleaved forest,631,944,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.77,111.2,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 51. Index from Michaletz 2014: 596
445,Broadleaf,Temperate typical deciduous broadleaved forest,596,945,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,38.12,112.41,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 47. Index from Michaletz 2014: 646
446,Broadleaf,Temperate typical deciduous broadleaved forest,625,948,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.9,111.11,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 51. Index from Michaletz 2014: 607
447,Broadleaf,Temperate typical deciduous broadleaved forest,682,952,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,37.37,111.38,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 65. Index from Michaletz 2014: 620
448,Broadleaf,Temperate typical deciduous broadleaved forest,607,953,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,33.2,104.2,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 80. Index from Michaletz 2014: 654
449,Broadleaf,Temperate typical deciduous broadleaved forest,479,954,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,40.7,124.7,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 24. Index from Michaletz 2014: 522
450,Broadleaf,Temperate typical deciduous broadleaved forest,741,967,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.75,112.48,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 81. Index from Michaletz 2014: 595
451,Broadleaf,Temperate typical deciduous broadleaved forest,647,995,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,37.47,111.72,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 52. Index from Michaletz 2014: 623
452,Broadleaf,Temperate typical deciduous broadleaved forest,687,1000,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.47,111.91,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 56. Index from Michaletz 2014: 571
453,Broadleaf,Temperate typical deciduous broadleaved forest,247,1030,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,40.6,117.4,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 32. Index from Michaletz 2014: 497
454,Broadleaf,Temperate typical deciduous broadleaved forest,711,1046,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,37.48,111.79,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 57. Index from Michaletz 2014: 626
455,Broadleaf,Temperate typical deciduous broadleaved forest,682,1048,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,37.5,111.1,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 63. Index from Michaletz 2014: 650
456,Broadleaf,Temperate typical deciduous broadleaved forest,597,1049,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.67,111.27,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 34. Index from Michaletz 2014: 584
457,Broadleaf,Temperate typical deciduous broadleaved forest,311,1056,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,40.6,118.4,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 30. Index from Michaletz 2014: 494
458,Broadleaf,Temperate typical deciduous broadleaved forest,700,1072,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.37,111.87,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 51. Index from Michaletz 2014: 566
459,Broadleaf,Temperate typical deciduous broadleaved forest,632,1076,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.7,112,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 50. Index from Michaletz 2014: 652
460,Broadleaf,Temperate typical deciduous broadleaved forest,808,1081,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,37.12,111.11,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 76. Index from Michaletz 2014: 615
461,Broadleaf,Temperate typical deciduous broadleaved forest,754,1102,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,35.03,111.55,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 53. Index from Michaletz 2014: 530
462,Broadleaf,Temperate typical deciduous broadleaved forest,670,1110,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,35.52,113.29,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 37. Index from Michaletz 2014: 549
463,Broadleaf,Temperate typical deciduous broadleaved forest,713,1110,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,37.2,111.38,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 43. Index from Michaletz 2014: 618
464,Broadleaf,Temperate typical deciduous broadleaved forest,778,1115,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.8,111.92,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 58. Index from Michaletz 2014: 602
465,Broadleaf,Temperate typical deciduous broadleaved forest,839,1124,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.45,111.94,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 71. Index from Michaletz 2014: 570
466,Broadleaf,Temperate typical deciduous broadleaved forest,766,1134,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,35.63,112.15,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 51. Index from Michaletz 2014: 551
467,Broadleaf,Temperate typical deciduous broadleaved forest,737,1138,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.8,111.2,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 45. Index from Michaletz 2014: 601
468,Broadleaf,Temperate typical deciduous broadleaved forest,819,1140,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,35.37,111.79,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 65. Index from Michaletz 2014: 542
469,Broadleaf,Temperate typical deciduous broadleaved forest,801,1143,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,35.45,111.79,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 58. Index from Michaletz 2014: 545
470,Broadleaf,Temperate typical deciduous broadleaved forest,318,1146,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,40.5,118.7,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 26. Index from Michaletz 2014: 496
471,Broadleaf,Temperate typical deciduous broadleaved forest,681,1152,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,38.18,111.32,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 37. Index from Michaletz 2014: 647
472,Broadleaf,Temperate typical deciduous broadleaved forest,697,1158,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.68,113.3,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 39. Index from Michaletz 2014: 589
473,Broadleaf,Temperate typical deciduous broadleaved forest,821,1161,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.75,111.99,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 61. Index from Michaletz 2014: 594
474,Broadleaf,Temperate typical deciduous broadleaved forest,871,1170,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.65,111.92,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 73. Index from Michaletz 2014: 583
475,Broadleaf,Temperate typical deciduous broadleaved forest,793,1175,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.78,112.17,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 54. Index from Michaletz 2014: 600
476,Broadleaf,Temperate typical deciduous broadleaved forest,808,1175,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,35.33,111.44,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 57. Index from Michaletz 2014: 540
477,Broadleaf,Temperate typical deciduous broadleaved forest,817,1180,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.12,111.07,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 56. Index from Michaletz 2014: 558
478,Broadleaf,Temperate typical deciduous broadleaved forest,801,1185,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.42,111.29,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 50. Index from Michaletz 2014: 568
479,Broadleaf,Temperate typical deciduous broadleaved forest,765,1191,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.77,111.96,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 48. Index from Michaletz 2014: 597
480,Broadleaf,Temperate typical deciduous broadleaved forest,782,1204,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,37.57,111.68,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 46. Index from Michaletz 2014: 632
481,Broadleaf,Temperate typical deciduous broadleaved forest,817,1205,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.62,112.01,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 54. Index from Michaletz 2014: 581
482,Broadleaf,Temperate typical deciduous broadleaved forest,808,1208,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,35.23,112.32,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 52. Index from Michaletz 2014: 534
483,Broadleaf,Temperate typical deciduous broadleaved forest,859,1212,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,39.97,115.43,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 61. Index from Michaletz 2014: 491
484,Broadleaf,Temperate typical deciduous broadleaved forest,923,1212,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.1,110.96,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 76. Index from Michaletz 2014: 557
485,Broadleaf,Temperate typical deciduous broadleaved forest,830,1233,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.67,111.94,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 52. Index from Michaletz 2014: 585
486,Broadleaf,Temperate typical deciduous broadleaved forest,882,1245,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,37.05,113.5,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 60. Index from Michaletz 2014: 613
487,Broadleaf,Temperate typical deciduous broadleaved forest,860,1253,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.7,111.18,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 54. Index from Michaletz 2014: 591
488,Broadleaf,Temperate typical deciduous broadleaved forest,818,1281,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,37.05,111.11,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 46. Index from Michaletz 2014: 611
489,Broadleaf,Temperate typical deciduous broadleaved forest,848,1284,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,37.77,111.84,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 51. Index from Michaletz 2014: 641
490,Broadleaf,Temperate typical deciduous broadleaved forest,816,1285,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,37.78,111.91,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 47. Index from Michaletz 2014: 642
491,Broadleaf,Temperate typical deciduous broadleaved forest,859,1285,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.77,112.14,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 53. Index from Michaletz 2014: 599
492,Broadleaf,Temperate typical deciduous broadleaved forest,798,1289,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.5,112.3,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 55. Index from Michaletz 2014: 651
493,Broadleaf,Temperate typical deciduous broadleaved forest,889,1290,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.55,111.92,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 56. Index from Michaletz 2014: 576
494,Broadleaf,Temperate typical deciduous broadleaved forest,924,1307,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,37.03,111.11,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 59. Index from Michaletz 2014: 610
495,Broadleaf,Temperate typical deciduous broadleaved forest,937,1318,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,37.77,111.75,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 61. Index from Michaletz 2014: 640
496,Broadleaf,Temperate typical deciduous broadleaved forest,603,828,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.73,112.1,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 66. Index from Michaletz 2014: 593
497,Broadleaf,Temperate typical deciduous broadleaved forest,575,846,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.77,112.05,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 53. Index from Michaletz 2014: 598
498,Broadleaf,Temperate typical deciduous broadleaved forest,546,984,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,38.2,111.34,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 36. Index from Michaletz 2014: 648
499,Broadleaf,Temperate typical deciduous broadleaved forest,711,998,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.67,112.07,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 61. Index from Michaletz 2014: 587
500,Broadleaf,Temperate typical deciduous broadleaved forest,648,1106,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.67,112.07,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 38. Index from Michaletz 2014: 586
501,Broadleaf,Temperate typical deciduous broadleaved forest,737,1113,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,36.68,112.1,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 51. Index from Michaletz 2014: 588
502,Broadleaf,Temperate typical deciduous broadleaved forest,677,1201,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,35.6,106.27,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 32. Index from Michaletz 2014: 525
503,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,480,865,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,26,108,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 40. Index from Michaletz 2014: 799
504,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,821,1200,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,29.3,110.1,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 130. Index from Michaletz 2014: 808
505,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,283,1479,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,25.25,107.98,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 100. Index from Michaletz 2014: 796
506,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,1273,1493,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,28.1,106.8,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 121. Index from Michaletz 2014: 797
507,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,963,1554,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,26.4,106.7,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 87. Index from Michaletz 2014: 794
508,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,1058,1612,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,27.1,117.3,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 114. Index from Michaletz 2014: 792
509,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,963,2258,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,27.3,117.3,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 25. Index from Michaletz 2014: 793
510,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,665,1298,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,31.13,110.3,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 51. Index from Michaletz 2014: 806
511,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,537,1506,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,29.1,110.4,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 20. Index from Michaletz 2014: 807
512,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,783,1506,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,32.3,106.8,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 58. Index from Michaletz 2014: 810
513,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,1509,1984,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,28.2,107,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 80. Index from Michaletz 2014: 795
514,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,1064,643,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,33,108.2,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 95. Index from Michaletz 2014: 809
515,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,401,1061,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,33.6,111.3,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 23. Index from Michaletz 2014: 801
516,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,581,1213,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,31.6,114.8,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 34. Index from Michaletz 2014: 802
517,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,515,1311,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,26.8,104.2,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 23. Index from Michaletz 2014: 798
518,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,658,1369,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,27.1,99.2,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 75. Index from Michaletz 2014: 812
519,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,648,1588,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,32,110.7,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 31. Index from Michaletz 2014: 805
520,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,674,1212,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,33.5,111.7,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 51. Index from Michaletz 2014: 803
521,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,646,1366,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,33.6,111.6,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 36. Index from Michaletz 2014: 800
522,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,850,1519,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,28.7,96.7,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 93. Index from Michaletz 2014: 811
523,Broadleaf,Subtropical mixed evergreen-deciduous broadleaved forest,875,1520,Michaletz et al. 2014: Luo (1996); Ni et al. (2001),Forest Broadleaf,31.7,110.6,,Broadleaf total production (g/m2/yr) vs foliage biomass (g/m2) global,Age (yrs): 54. Index from Michaletz 2014: 804
